Total Progress:	696	out of		792	=	87.88%					Total Number of Duplicates:						1488		Number Remaining:					96									
Trinket	TP Value	Red	Tan	White	Black	Grey	Yellow	Pink	Violet	Purple	Navy	Blue	Aqua	Lime	Green	Orange	Maroon	Brown	Gold	Rose	Lavend.	Mint	LtGreen	Magenta	Lemon	Peach	LtBlue	Persimm.					Worth
Lockpick kit	7,643	3	7	2	1	4	5	7	3	5	9	3	6	4	9	4	9	8	2	9	5	6	6	6	5	6	12	9	27	out of 	27	100%	1,184,665
Skeleton key	6,991	5	5	2	1	7	10	13	6	5	7	9	9	8	7	5	9	7	2	6	7	5	4	7	7	8	7	6	27	out of	27	100%	1,216,434
Knucklebone dice	7,980	5	4	1	5	4	5	6	9	4	7	7	6	9	7	9	8	6	1	6	8	7	11	6	6	5	1	5	27	out of	27	100%	1,260,840
Caltrops	8,487	2	3	3	1	1	3	2	5	4	2	4	4	1	5	4	3	4	1	1	4	4	4	4	5	4	6	7	27	out of	27	100%	772,317
Forged documents	9,553	4	1	3	1	5	5	5	3	1	5	6	2	6	3	6	3	4	1	3	6	6	5	1	4	5	6	5	27	out of	27	100%	1,003,065
Black handkerchief	9,853	2	2	2	1	4	4	3	2	1	6	1	1	3	3	2	1	3	1	4	2	3	2	5	2	1	3	3	27	out of	27	100%	660,151
Stolen imperial plans	10,585	1	3	4	1	3	1	1	4	5	5	2	2	3	3	4	3	1	1	4	1	5	2	2	2	2	1	4	27	out of	27	100%	740,950
Garrote	9,452	5	3	5	1	5	3	3	3	2	3	1	4	2	3	3	2	4	1	3	2	3	1	5	4	4	1	2	27	out of	27	100%	737,256
Grappling hook	8,688	5	5	4	1	5	6	2	4	3	5	6	8	8	6	3	5	8	1	5	10	4	9	7	2	8	4	7	27	out of	27	100%	1,225,008
Plunder bag	8,301	8	4	4	1	4	8	5	6	1	6	4	8	6	2	2	6	6	1	7	7	4	6	4	5	3	5	3	27	out of	27	100%	1,045,926
Smoke bomb	10,269	4	3	5	3	4	9	10	5	2	8	5	9	7	6	4	7	5	1	5	6	2	7	7	10	4	6	4	27	out of	27	100%	1,519,812
Throwing knives	10,017	2	2	2	1	1	1	1	1	2	2	2	1	3	3	2	1	1	1	1	1	1	5	2	2	2	4	1	27	out of	27	100%	480,816
Counterfeit coins	10,484	4	3	3	1	1	4	3	1	1	2	4	1	2	3	2	2	5	1	2	2	2	2	2	3	3	2	2	27	out of	27	100%	660,492
Marked cards	10,995	4	5	4	1	1	6	3	2	3	5	1	3	4	4	1	5	6	1	5	4	1	4	3	4	5	2	3	27	out of	27	100%	989,550
Poison	9,411	5	3	1	1	2	2	4	6	1	4	4	6	2	3	1	1	1	1	4	4	2	4	6	5	1	2	2	27	out of	27	100%	734,058
Fake casino chips	11,373	1	2	1	1	1	1	1	1	2	2	1	2	4	1	1	1	1	1	2	3	2	1	1	1	1	2	3	27	out of	27	100%	466,293
Poison darts	9,763	3	2	1	1	4	3	5	3	2	1	1	2	2	6	5	1	4	1	1	4	1	3	1	1	3	2	1	27	out of	27	100%	624,832
Raven's feather	10,660	3	2	2	1	5	5	4	3	1	3	4	4	1	2	1	1	1		1	1	1	1	6	2	4	1	2	26	out of	27	96%	660,920
Dirty laundry list	12,403	1	1	2	1	1	1	1	2	1	1	1	4	2	1	1	1	1		1	1	1	1	4	1	1	2	3	26	out of	27	96%	471,314
Wanted poster	9,943	3	3	4	1	2	3	2	2	1	3	1	1	2	2	3	4	1	1	2	4	2	1	4	2	7	1	1	27	out of	27	100%	626,409
Powdered unicorn horn	13,758	1	1	1		1	1	1	2		1		1	3	1	1	1	1		1	1	1	1	1	1	2	1	1	23	out of	27	85%	371,466
Ransom note	12,723	1	1	1	1	1	4	1	1	1	3	2	2	1	3	3	2	2	1	1	2	1	1	1	1		4	1	26	out of	27	96%	547,089
Decoder medallion	11,325	2	5	4	1	4	1	3	2	1	2	1	4	5	4	1	3	5	1	2	3	8	6	7	2	5	4	3	27	out of	27	100%	1,007,925
Stinking badges	13,687	2	1	1		1	1	2	1	1	2	1	1	1	3	1	1	1		1	1	2	1	1	4	1	1	2	25	out of	27	93%	479,045
Dark grimoire	?							1					1							1	1					2			5	out of	27	19%	
Assassin's dagger	?								1			1	1		2	2	1	3			1				1	1			10	out of	27	37%	
Black king	?								1		1	1						1						2					5	out of	27	19%	
Skull box	?	1	1	1			1				1		1							2						1			8	out of	27	30%	
Assassin's belt	?		2	1	1			1	1	2		1		1		1	1	2		1	1	1	1	2	1	1	1	1	20	out of	27	74%	
		Red	Silver		White	Black	Brown	Light Brown		Strawberry Blonde			Sandy	Blonde																			
Disguise kit	9,234	9	8		11	8	3	11		4			6	11															9	out of	9	100%	655,614
