	Total Progress:	179	out of 	312	=	57.37%				
		# Duplicates:			168		# Remaining:		133	
TP Value:		Red	Violet	Blue	Aqua	Lime	Orange	Yellow	Total	Worth
Barnabas the Pale									26	
12,022	Ectoplasm	1	2	1				N/A	3	48,088
12,821	Will o' wisp	2			2	2	2	N/A	4	102,568
11,155	Cursed idol	1	1	1		1	2	N/A	5	66,930
12,627	Music box of lamentations	1		1		2	1	N/A	4	63,135
12,504	Spectral chain	1	1	4	4	3	1	N/A	6	175,056
10,896	Key to the Nether-Sea	2	3	5	2			N/A	4	130,752
Widow Queen									25	
10,674	Silk handkerchief	1		1	3		2	N/A	4	74,718
13,326	Jeweled brooch	1	1		2			N/A	3	53,304
12,864	Rose goddess perfume		2	2	1	1		N/A	4	77,184
14,894	Arsenic ring		1	1	1	1		N/A	4	59,576
11,502	Ruffled garter		2	1	1	1	2	N/A	5	80,514
11,998	Concealed blade		2	1	1	5	3	N/A	5	143,976
Brynhild Skullsplitter									25	
12,956	Mjolnir amulet		1		1	1			3	38,868
10,899	Runestone	1	1	1	1				4	43,596
11,582	Engraved wristband	1	1		1		1		4	46,328
10,971	Solar compass		1	1		2	2	1	5	65,826
10,953	Hoard brooch	3	2		1				3	65,718
10,850	Wyrm scale	2	1	1	2	1		3	6	75,950
Azarbad the Great									22	
11,830	Exotic confection		2		1				2	35,490
10,239	Ornate earring	1				3	1		3	51,195
9,162	Jeweled dagger	1	1			1	1		4	36,648
10,891	Heart of fire	1	1		1				3	32,673
8,137	Scented beard oil	2	2	2			1	4	5	56,959
10,390	Golden oil lamp		1	1	1		1	3	5	41,560
Vargas the Mad									28	
12,188	Jigsaw puzzle piece	1		2	1			N/A	3	48,752
13,888	Scientific tome	1	1		1	1		N/A	4	55,552
13,291	Reading pipe	1	2	2	1		1	N/A	5	93,037
16,692	Siren's comb	1	2		2	1	1	N/A	5	116,844
10,739	Grimoire page	4	2	3	1	1	2	N/A	6	139,607
11,519	Yo-yo		4	1	2	2	3	N/A	5	138,228
Madam Yu Jian									23	
8,967	Lucky coin talisman	2	2		1	3	1	2	6	80,703
9,421	Jade carving	1		1	1	2	1	1	6	56,526
12,393	Jeweled finger guard			1			2		2	37,179
11,914	Hand fan	1		1	1		2		4	59,570
14,101	Cut stone box	2	1	1					3	56,404
14,045	Jade comb	2				1			2	42,135
Gretchen Goldfang									23	
7,908	Ivory toothpick			1	1			N/A	2	15,816
8,968	Salt shaker	1	2	1	3	3		N/A	5	89,680
8,603	Wooden amulet	2		2		1		N/A	3	43,015
8,969	Lucky rabbit's foot		1					N/A	1	8,969
9,354	Golden horseshoe	1	3	1	6	1	4	N/A	6	149,664
8,286	Stained wishbone	1	1	3	1	1	1	N/A	6	66,288
Admiral Finius									30	
11,411	Porcelain cup	3		3	1	1	1	N/A	5	102,699
10,772	Fish eye lens monocle	1	2			1	3	N/A	4	75,404
11,093	Royal anchovy tin	1	1	3	2	1		N/A	5	88,744
12,627	Prestigious naval medal	2		4				N/A	2	75,762
14,313	Baby portrait of Adm. Finius	1		1			1	N/A	3	42,939
10,506	Self-addressed love letter	2	2	3	5	5	5	N/A	6	231,132
10,188	Pearl pocket watch		2	2	1	4	5	N/A	5	142,632
