Total Progress:		144		out of		144	=	100.00%			Number Remaining:					0		# Duplicates:			549	
Trinket	TP Value	Red	White	Black	Grey	Yellow	Pink	Violet	Purple	Navy	Blue	Aqua	Lime	Green	Orange	Brown	Gold					Worth
Animal carving	8,088	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2	1	16	out of	16	100%	161,760
Box brooch	5,539	6	1	1	2	4	1	1	3	1	2	6	2	4	3	1	1	16	out of	16	100%	216,021
Gold belt buckle	4,971	8	4	4	5	3	1	3	5	5	7	4	4	3	7	7	5	16	out of	16	100%	372,825
Two-pronged fork	3,918	25	2	8	13	9	14	5	12	11	10	9	9	8	7	3	3	16	out of	16	100%	579,864
Viking key	3,902	33	2	5	9	11	4	13	9	10	7	5	8	6	8	9	2	16	out of	16	100%	550,182
Chess piece	3,939	22	2	4	11	3	9	5	9	6	9	7	12	7	8	6	4	16	out of	16	100%	488,436
Scabbard boss	5,794	4	2	1	1	1	1	2	2	1	6	3	5	5	2	3	1	16	out of	16	100%	231,760
Dragon pendant	5,627	10	1	3	6	7	5	1	6	4	6	2	8	8	5	3	4	16	out of	16	100%	444,533
Warrior carving	12,877	2	1	1	1	2	1	2	3	4	1	3	1	1	2	1	1	16	out of	16	100%	347,679
